title;company;type;location;description;status;posted_by 
Data analyst;Stellar Professionals;remote;United States;We are looking to fill multiple contract remote roles as Data analysts.Mode of Interview: Webcam InterviewThe resource will work primarily remotely but must reside in close proximity to Harrisburg, PA to attend in-person meetingsAbility to analyze and interpret quantitative and qualitative data.Ability to analyze and interpret policies, procedures, and regulations relating to crisis intervention services.Knowledge of the principles and methods of data collection and analysis.Proficiency in Excel and other data analysis tools.Effective communication skills, including the ability to explain data results and analyses to multiple audiences.Ability to work independently with minimal guidance or supervision.Understanding of best practices for project management, knowledge management, and documentation.Strong organizational skills, including the ability to manage multiple projects simultaneously.Required SkillsRequired/Desired SkillsKnowledge of the principles and methods of data collection and analysis.Experience analyzing and interpreting quantitative and qualitative dataExperience in analyzing and interpreting policies, procedures, and regulations relating to crisis intervention servicesProficiency in Excel and other data analysis tools.Effective communication skills, including the ability to explain data results and analyses to multiple audiences.Understanding of best practices for project management, knowledge management, and documentation.Experience in managing multiple projects simultaneously.PreferredExperience in mental health, social work, or community policing.Graduate degree in Mental Health, Psychology, Social Work or Criminal Justice;active;rec1
Data Analyst;Tier4 Group;remote;Dallas-Fort Worth Metroplex;Must be local to Dallas, TX (Hybrid role. Onsite for occasional team meetings)Full-time, direct hire*No C2C/3rd partiesAre you a Data Analyst looking for a new opportunity? Our Dallas-based tech client is looking to hire a mid-level Data Analyst to join the team! Our client was recently voted one of the top places to work in Dallas!You will be responsible for analyzing complex data structures to generate impactful business insight, develop reports, and work with senior analysts and internal partners on projects and ad hoc analysis. The goal is to increase the overall ROI for their products and to provide their internal customer teams (marketing, product, and customer care) with data-driven business recommendations.What we are looking for:Must be able to communicate analytical findings to both technical and non-technical audiencesExperience with web analytics and advanced modeling techniquesMust have critical thinking and problem-solving skillsAdvanced experience with SQL Server Management Studio (SSMS) and Microsoft OfficeWhat you will be doing:Leverage internal and external data to develop recommendations that generate business impact for business unitsPerform in-depth quantitative analyses utilizing a combination of SQL, SAS, Python and Excel with limited supervisionUse advanced modeling techniques such as decision trees, segmentation, and regressionPartner with senior analysts and data scientists to derive actionable insightsCollaborate with team members and internal customers to understand business needs and design project requirements to create deeper insightsBe responsible for facilitating requirements gathering sessions and making others aware of issues, delays, and other needsThis is a full-time opportunity with top compensation, great work culture, and amazing benefits. This is a hybrid opportunity in the Dallas, TX area with occasional in-person meetings.;active;rec1
Data Analyst;Business Plan Solutions, LLC;hybrid;San Antonio, TX;Bachelor's degree in computer or information scienceStrong background in large-scale, shared data environments. Preferable candidate would have experience in Water/Wastewater space include Water Assets, GIS, Workorder and Asset ManagementExcellent technical abilities, strong communication skills, and strong project management and organizational skillsRelevant technical skills or knowledge may include data modeling, SQL programming (SQL Server or Oracle), and Microsoft OfficeEffective analytical abilities in order to examine existing processes/workflows/dataflows and make recommendations for improvements6 to 8 months possibility of extension;active;rec1
Data Analyst;Good Apple;remote;Chicago, IL;The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.††ResponsibilitiesUnderstand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashionQualificationsBachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience 1 - 2 years' Data Analysis experience Proficient in SQL;active;rec1
Data Analyst;Verdani Partners;remote;Carlsbad, CA;;active;rec1
Data Analyst I (entry level);Oracle;remote;United States;Analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients.The Strategic Analytics and Adoption Team is looking to expand with a adding a Data Analyst I to the team. Our vision is to improve client outcomes through analytics and adoption resulting in a better clinician and patient experience. As a Data Analyst I, you will analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for clients and stakeholders. You will access and compile data sets from various sources for exploratory and pre-defined analyses, audit data sets for completeness, validity, and other pertinent data health measures. You will help turn information into insights by creating data visualizations, reports, and conducting statistical testing. You will take data and create predictive models for future success. You will report on value and work with your team on highlighting value and areas of opportunity. In this position, you will focus on supporting federal clients. You will partner with our Adoption Managers, Adoption Consultants, and cross-organizational leadership. We are looking for a team member with excellent communication skills, flexibility and comfort with ambiguity, attention to detail, ability to work comfortably with dataîmining and presenting data in a meaningful and actionable way, and a willingness to learn and adapt in a fast-paced environment. This is an exciting position with opportunities for growth that has a significant impact on clinical outcomes. Basic QualificationsAt least 5 years total combined related work experience and completed higher education, includingAt least 1 years of Data analytics and/or statistics work experience, including experience in quantitative or statistical analysis, data mining, predictive or statistical modeling, applied programming, data management, data transformation, data visualization and/or quantitative or statistical research, or successful completion of Oracle Cerner 's Analytics Learning LabAt least 4 years of additional work experience directly related to the duties of the job and/or completed higher education, including Bachelor's Degree in Actuarial Science, Analytics, Information Systems, Management Information Systems, Mathematics, Statistics, Economics or related field, or equivalent relevant work experience.Receipt of the appropriate government security clearance card applicable for your positionDue to the client contract you will be assigned, this position requires you to be a U.S. citizen Preferred QualificationsAt least 1 year of Tableau working experienceHealthcare experience (and experience with healthcare dataExperience with PowerBIExperience with Lights On Network or Advance ExpectationsWilling to travel up to 20% as neededLive within 60 miles of a major airportWilling to work additional or irregular hours as needed and allowed by local regulations (once a month)Work in accordance with corporate and organizational security policies and procedures, understand personal role in safeguarding corporate and client assets, and take appropriate action to prevent and report any compromises of security within scope of positionPerform other responsibilities as assigned;active;rec1
Data Analyst;Blend360;remote;United States;Position Description: Data Analyst, Marketing CampaignsDynamic, Entrepreneurial Marketing Consulting Company is seeking a Data Analyst to contribute to our Fortune 100 Ficial Services Client's Product and Pricing team. If you have an entrepreneurial spirit and passion, are driven by results, and want to be a consultant for our fast-growing company, we're looking for you!People are everything here at BLEND360. We are inspired by advancing our Client's most critical initiatives, products and projects by matching our clients with the right talent. We are equally inspired by the men and women we place in meaningful assignments so they can achieve their career goals. BLEND360 has been among the Inc. 5000 fastest growing companies 8 years in a row, and we're very proud of our World Class NPS score. Our success is a direct result of our passion for advancing the careers and initiatives of the talented people we work with every day.What you will do:This role will serve as an analyst supporting all marketing campaigns. The analyst will be a part of the Data Science team, working cross functionally with the marketing team to pull cardmember and segmentation data and successfully identify data for campaign mailings.Details:Remote (EST/CST Preferred)Duration: 6 months with potential to go full-timeApprox. 40/hrs. per weekBenefits: We offer benefits to our full-time consultants, including Health, Vision, Dental, 401K plan, Life Insurance, Pretax Commuter Benefits, and an incredibly supportive team cheering you on!The Analyst will:¢Owns the sourcing, validation, consolidation, and cleansing of data for descriptive analytics, business intelligence and Campaign execution¢Leverage deep data knowledge and domain expertise to identify and source data from the data lake into (including internal, third party structured and unstructured data) actionable insights¢Partner with other members of the Marketing, Product and IT teams to come up with strategie sand optionality to impact client experiencesWhat you have:¢ 3-5 years using SQL, SAS¢ Power BI experience¢ Experience in compiling and executing data lists for Marketing Campaigns¢ 3-5 years using R, R Studio, and Python¢ 3-5 years of Ficial Services ExperienceThis role is not eligible for immigration sponsorship.A diverse workforce is a strong workforce To deliver growth at BLEND360 and for our clients, we believe as a Talent Solutions Company, we have a responsibility and unique opportunity to positively impact the workforce. Diversity has played a critical role in our history, our growth, and continues to have a profound impact on our success. We are determined to have equality in the workplace, within our team and as an extension of our clients' team.This is not the work of the moment, and this requires continued learning and purposeful actions. We are investing resources to understand and improve the sourcing, selection and retention of the talent we hire, and ultimately the workforce we provide our clients. We will communicate our journey in the spirit of transparency and shared learning.We know that the Confidence Gap and Imposter Syndrome are real  we encourage you to apply so we can get to know you. Connect with us and we will work together to find your next great opportunity.BLEND360 is an equal opportunity employer;active;rec1
Data Analyst I (entry level);Oracle;remote;United States;;active;rec1
Data Analyst;Northrop Grumman Federal Credit Union;remote;United States;;active;rec1
Data Analyst;Confidential;remote;United States;The Data Analyst will design, build, test, and implement analytics solutions that support a large automotive client's Communications Research & Analytics teams. The ideal candidate is adept at managing large data sets to find opportunities for improving client's business strategies and using models to test the effectiveness of different courses of action. They must possess deep knowledge of statistics and probability theory grounded in the fundamentals (random variables, probability distributions, hypothesis testing, confidence intervals, multivariate regression, time series analysis, Bayesian statistics) to ensure quality and accuracy of our solutions and insights.  Essential Qualifications:  Bachelor's, Master or PhD degrees in computer science, data science, or related fields Creative-minded individual, enjoys open-ended problems and challenging the status quo 3+ years of experience as a Statistician or Data Analyst Proficiency coding in Python, R or equivalent Excellent written and spoken communication skills Ability to conduct independent work and manage projects from beginning to end Experience creating both SQL and NoSQL databases, data modeling (SQL, Mongo DB, etc.). Experience with PowerBI, Tableau and/or other data visualization tools Knowledge of a variety of machine learning techniques: PyTorch, TensorFlow or similar Knowledge and experience with natural language processing (NLP): BERT or similar Knowledge and experience in statistical and data mining techniques: GLM/Regression, Decision Trees/Random Forest, text mining, social network analysis, etc. Experience with Microsoft Offices Tools [Excel in particular] and SPSS Experience with marketing analytics and media mix modeling  Preferred Qualifications: Experience working in a consulting company or agency Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc. Knowledge and experience with version control and documentation, i.e. Git/GitHub Experience using web services: Azure, Google Cloud, AWS, Spark, DigitalOcean, etc. Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Brandwatch, Facebook Insights, etc. Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, PostgreSQL, etc.;active;rec1
Data Analyst;Technology Ventures;remote;United States;Looking for data analyst / steward who can support our efforts to engage data producers and integrators to govern changes / additions to the data ecosystem. This role will also support efforts to identify data quality rules / controls and influence data producers to implement those rules / controls in source wherever possible.Job Responsibilities:Analyze data requirements  identify data design that best meets needs even if customer has prescribed a specific desired outcomeMap data requirements to existing governed business terms and create new terms where neededUnderstand customer objectives and targeted outcomes to ensure data design supports their needs while also anticipating broader needs for the same dataConsult with teammates to ensure proposed data design / definition aligns with we've governed similar data attributesBe flexible and thrive in an evolving environmentAdapt to change quickly and adjust work accordingly in a positive mannerSkills / ExperiencePrevious experience in data stewardship / goverce / qualityMicrosoft office toolsSQL skills a plusCollibra skillsJIRA experienceData analysis skills;active;rec1
Data Analyst;Technology Ventures;remote;United States;;active;rec1
